flow_duration,tot_fwd_pkts,tot_bwd_pkts,fwd_pkt_len_mean,bwd_pkt_len_mean,flow_byts_s,flow_pkts_s,fwd_iat_mean,bwd_iat_mean,pkt_len_std,label
0.015146,4.0,5.0,10.0,44.2,17232.272547207183,594.2162947312822,0.0028236666666666666,0.003682000000000001,69.50371692698647,dos
0.01595,4.0,5.0,10.0,54.4,19561.12852664577,564.2633228840126,0.0029856666666666664,0.0037665000000000008,85.43847689029418,dos
0.127179,11.0,12.0,199.9090909090909,581.5833333333333,72166.00224879895,180.84746695602263,0.0102548,0.01154990909090909,555.5060299180939,dos
0.246247,1.0,3.0,0.0,10.333333333333334,125.88985855665248,16.243852716987416,0.0,0.1231235,13.863621460498695,dos
5.5e-05,1.0,1.0,0.0,39.0,709090.9090909091,36363.63636363636,0.0,0.0,22.516660498395403,dos
0.000103,1.0,1.0,0.0,0.0,0.0,19417.47572815534,0.0,0.0,0.0,dos
0.149923,10.0,13.0,230.3,536.8461538461538,61911.781381108965,153.41208487023337,0.013556333333333333,0.012493583333333334,553.2255810049467,dos
2.4e-05,1.0,1.0,0.0,0.0,0.0,83333.33333333333,0.0,0.0,0.0,dos
0.045758,0.0,2.0,0.0,706.0,30857.99204510687,43.708204029896415,0.0,0.045758,815.2185800957516,dos
0.307176,1.0,1.0,0.0,0.0,0.0,6.510925332708284,0.0,0.0,0.0,dos
0.306767,1.0,1.0,0.0,0.0,0.0,6.51960608540032,0.0,0.0,0.0,dos
1.20077,1.0,1.0,0.0,0.0,0.0,1.6655979080090275,0.0,0.0,0.0,dos
1.200787,1.0,1.0,0.0,0.0,0.0,1.6655743275035455,0.0,0.0,0.0,dos
0.152956,11.0,12.0,209.3636363636364,581.5833333333333,60684.11830853317,150.37004105755904,0.0127564,0.013893909090909092,553.2255810049468,dos
0.249484,1.0,3.0,0.0,10.333333333333334,124.25646534447098,16.033092302512387,0.0,0.124742,13.863621460498695,dos
4.810732,1.0,1.0,0.0,0.0,0.0,0.4157371476939476,0.0,0.0,0.0,dos
4.810758,1.0,1.0,0.0,0.0,0.0,0.4157349008202034,0.0,0.0,0.0,dos
0.016614,4.0,5.0,10.75,24.4,9931.38317081979,541.7118093174431,0.002097666666666667,0.0040615,39.22371731491037,dos
0.145602,4.0,6.0,10.75,9.833333333333334,700.5398277496188,68.68037526957046,0.045218,0.0289298,20.543081117938023,dos
60.061484,4.0,9.0,53.25,834.6666666666666,128.61820064252825,0.2164448683951931,20.01198333333333,0.006882375,676.8620105447501,dos
1.067794,18.0,16.0,612.6666666666667,299.12500000000006,14809.972710092024,31.841347675675276,0.05339935294117647,0.0707198,611.6177913444602,dos
0.0,1.0,1.0,0.0,42.0,inf,inf,0.0,0.0,24.24871130596428,dos
0.010606,4.0,5.0,12.0,27.0,17254.384310767487,848.576277578729,0.001271,0.002606,43.45636380963731,dos
0.127044,4.0,5.0,12.0,35.2,1763.1686659739937,70.84159818645509,0.040042,0.03168075,55.85536878601933,dos
77.614308,2.0,3.0,0.5,0.3333333333333333,0.0257684446532719,0.0644211116331798,32.462407,22.647528,0.5477225575051661,dos
0.011429,4.0,5.0,9.5,33.2,17849.330650100623,787.4704698573804,0.0018126666666666666,0.00282625,52.38150649057568,dos
0.012219,4.0,5.0,10.75,47.2,22833.292413454456,736.5578197888534,0.001843,0.0030045,74.23453823299951,dos
0.012169,4.0,5.0,10.75,38.4,19311.36494370943,739.5841893335526,0.0018763333333333332,0.00297375,60.57731515271299,dos
0.012094,4.0,5.0,9.5,24.0,13064.329419546882,744.1706631387465,0.0014653333333333332,0.00297875,38.302306283912806,dos
0.011501,4.0,5.0,9.0,26.4,14607.425441265976,782.5406486392487,0.0014863333333333332,0.0028135,41.84840365998313,dos
0.011845,4.0,6.0,9.0,19.666666666666668,13001.266357112709,844.2380751371887,0.001656,0.0023292,35.95552808679077,dos
59.911848,2.0,4.0,0.5,10.0,0.6843387638451747,0.1001471361724645,14.889821,19.97048,14.560219778561036,dos
0.008334,4.0,5.0,9.75,29.4,22318.214542836573,1079.9136069114472,0.0012913333333333334,0.0020305,46.57419409453647,dos
0.009165,4.0,5.0,9.75,17.6,13857.064920894709,981.9967266775778,0.001579,0.00225025,28.87540283509286,dos
0.312882,1.0,3.0,0.0,0.0,0.0,12.78437238319878,0.0,0.156441,0.0,dos
10.470976,18.0,22.0,713.3888888888889,441.1363636363637,2153.189922314787,3.820083247254124,0.018639294117647056,0.4986179047619047,642.3523489829414,dos
0.031333,1.0,1.0,0.0,0.0,0.0,63.83046628155618,0.0,0.0,0.0,dos
31.050564,16.0,37.0,207.0,628.8108108108108,855.9586872560511,1.706893311181079,2.0605816666666663,0.8625156666666668,555.6667955716883,dos
0.000131,1.0,1.0,0.0,0.0,0.0,15267.175572519083,0.0,0.0,0.0,dos
117.643818,105.0,72.0,74.28571428571433,251.44444444444443,220.1900655757364,1.504541445603202,1.1291126442307688,1.6561995070422535,192.4750470026096,dos
110.271029,11.0,13.0,1.0,0.0769230769230769,0.108822780641686,0.2176455612833721,10.023211,9.189252416666665,0.5099019513592784,dos
90.445054,5.0,7.0,277.8,46.85714285714285,18.98390154092893,0.1326772384922231,22.57425975,15.074175666666664,365.75701265688986,dos
0.01154,4.0,5.0,10.0,44.2,22616.984402079725,779.896013864818,0.0015313333333333333,0.0027765,69.50371692698647,dos
0.01215,4.0,5.0,10.0,54.4,25679.012345679013,740.7407407407408,0.001654,0.00292825,85.43847689029418,dos
115.917648,29.0,1.0,0.0,0.0,0.0,0.2588044229468838,4.033859357142857,0.0,0.0,dos
75.003761,2.0,5.0,33.5,12.0,1.693248422569103,0.0933286532124702,45.145116,18.75094025,28.765058168350212,dos
117.977859,38.0,1.0,0.0,0.0,0.0,0.3305705013683966,3.1222975135135136,0.0,0.0,dos
109.704551,1063.0,818.0,64.00470366886181,13.72249388753058,722.50421042241,17.14605258263169,0.103271548022599,0.1342772962056305,62.64171549341283,dos
119.856251,1213.0,911.0,60.36521022258864,13.758507135016457,715.4987686040672,17.721228407185873,0.0988681419141914,0.13100588681318684,60.64130732598082,dos
0.486774,19.0,26.0,293.52631578947364,356.7307692307692,30511.07906338465,92.44536478940948,0.025589611111111115,0.01946964,518.6198183081988,dos
119.966919,1213.0,897.0,59.990107172300114,13.777034559643267,709.5789465094123,17.588181955393885,0.09895726402640259,0.13389165066964265,60.47360163259371,dos
0.37497,3.0,7.0,82.66666666666666,893.1428571428572,17334.720110942206,26.66880017068032,0.0937275,0.062478000000000006,675.3063681834275,dos
60.441405,14.0,19.0,381.57142857142856,372.2105263157895,205.38900444157443,0.5459833370849007,3.500716769230769,3.357855833333333,553.2799589832237,dos
0.000158,1.0,1.0,0.0,0.0,0.0,12658.227848101267,0.0,0.0,0.0,dos
60.446486,16.0,19.0,378.3125,314.842105263158,199.10173107498755,0.579024560666769,4.0200856,3.358132333333333,543.8378339933142,dos
60.59465,17.0,17.0,374.82352941176464,358.1176470588235,205.62871474626888,0.5611056421647785,3.7780538125,3.787145625,550.0299457088411,dos
0.008989,4.0,5.0,9.5,28.4,20024.47435754811,1001.2237178774056,0.0017023333333333333,0.00221875,44.99876541516321,dos
0.00928,4.0,5.0,9.5,28.2,19288.793103448275,969.8275862068964,0.0017523333333333332,0.0022585,44.69265413167284,dos
0.009269,4.0,5.0,10.25,52.0,32473.837522925885,970.9785305858238,0.0013956666666666668,0.0022525,81.69380501468748,dos
0.009579,4.0,6.0,8.0,35.666666666666664,25681.177575947386,1043.9503079653407,0.0014296666666666668,0.0018352,64.18609308451906,dos
0.009646,4.0,5.0,10.25,48.2,29234.916027368858,933.0292349160272,0.0015436666666666667,0.002293,75.75809454367823,dos
0.010992,4.0,5.0,8.0,59.4,29930.858806404656,818.7772925764192,0.001849,0.00250825,93.26717893592937,dos
0.008852,4.0,6.0,9.25,24.166666666666668,20560.325350203344,1129.6882060551288,0.0016143333333333333,0.0017255999999999999,43.866533112074485,dos
0.009234,4.0,5.0,9.25,23.6,16785.79163959281,974.6588693957116,0.0016916666666666668,0.00220625,37.63937064062339,dos
0.009,4.0,5.0,12.499999999999998,31.4,23000.0,1000.0,0.001668,0.0021995,50.19085795463376,dos
0.008695,4.0,6.0,12.499999999999998,28.33333333333333,25301.897642323176,1150.0862564692352,0.0017133333333333332,0.0016706,51.77644251974058,dos
16.178967,4.0,1.0,308.0,308.0,95.18531065673103,0.3090432164179579,5.392444333333334,0.0,0.0,dos
10.092987,6.0,10.0,352.33333333333337,61.400000000000006,270.28668520032767,1.5852591507350595,2.0134094,1.121443,362.5798390780744,dos
10.101804,5.0,10.0,440.2,61.400000000000006,278.66309819513424,1.484883294112616,0.032174,1.1224226666666668,379.62463368438034,dos
110.440954,5.0,4.0,23.2,49.75,2.852202815995233,0.0814915090284352,27.5673465,36.79853666666666,26.18332802885582,dos
0.021203,4.0,5.0,10.75,24.4,7781.917653162289,424.4682356270339,0.001739,0.00520175,39.22371731491037,dos
0.151434,4.0,5.0,10.75,11.8,673.5607591425967,59.43183168905265,0.045019333333333335,0.03772475,21.410277905716217,dos
99.0016,19.0,31.0,171.2105263157895,404.6774193548388,159.57317861529512,0.5050423427500161,5.470857166666667,3.300053333333334,466.5646188143844,dos
0.723993,11.0,11.0,190.27272727272725,492.45454545454544,10373.028468507291,30.38703412878301,0.059769199999999995,0.0705845,541.0614038052862,dos
0.518561,12.0,13.0,219.5,438.6923076923077,16077.182819379012,48.21033591033648,0.03572663636363637,0.04303125000000001,521.4091631191529,dos
0.303378,10.0,14.0,555.4,753.1428571428572,53062.51606906236,79.10923006941836,0.031298,0.023336769230769237,651.3250545362636,dos
0.025611,3.0,4.0,10.333333333333332,1059.0,166608.09808285502,273.3200577876694,0.0002915,0.008326666666666668,727.6460948055135,dos
1.026503,12.0,12.0,308.75,358.75,7803.192002361416,23.380350568873155,0.076112,0.09299954545454546,527.0836429511608,dos
0.0,1.0,1.0,0.0,42.0,inf,inf,0.0,0.0,24.24871130596428,dos
0.009768,4.0,5.0,9.75,35.6,22215.397215397214,921.3759213759212,0.0015133333333333333,0.0023955,56.12298004283886,dos
0.010182,4.0,5.0,9.75,29.2,18169.31840502848,883.9127872716558,0.001601,0.00243225,46.26793946376067,dos
31.670088,1.0,1.0,0.0,0.0,0.0,0.0631510717620993,0.0,0.0,0.0,dos
31.661049,1.0,1.0,0.0,0.0,0.0,0.063169100935348,0.0,0.0,0.0,dos
2.072112,11.0,11.0,288.6363636363636,425.3636363636364,3790.335657532025,10.61718671577598,0.1945873,0.20660879999999998,551.4721512432318,dos
0.0,1.0,1.0,0.0,42.0,inf,inf,0.0,0.0,24.24871130596428,dos
31.100168,16.0,35.0,213.0,642.342857142857,832.4713872928274,1.639862524215303,2.0632152,0.9147108235294118,552.2640975875247,dos
6e-05,1.0,1.0,0.0,0.0,0.0,33333.333333333336,0.0,0.0,0.0,dos
64.265035,25.0,28.0,132.56000000000003,333.32142857142867,196.7944155013687,0.824709735239388,2.6768105000000006,0.15784151851851852,319.7315135246145,dos
0.0,1.0,1.0,0.0,0.0,,inf,0.0,0.0,0.0,dos
63.971893,138.0,574.0,24.362318840579704,1367.5627177700328,12323.271409210916,11.129887933752403,0.4668188467153285,0.006926038394415349,567.3326283226845,dos
0.0,1.0,1.0,0.0,0.0,,inf,0.0,0.0,0.0,dos
90.743211,13.0,18.0,326.00000000000006,390.6111111111112,124.18559885433191,0.3416233529580521,7.537885916666667,5.33783594117647,535.0755815996405,dos
117.647714,78.0,43.0,95.6025641025641,364.0232558139534,196.4339060595772,1.0284942723153976,1.5252783376623371,2.8011319761904763,228.9816538911442,dos
110.255031,12.0,14.0,0.9166666666666666,0.0714285714285714,0.1088385708222239,0.2358169034481519,9.110904181818182,8.481156230769232,0.5091750772173155,dos
119.999975,7.0,7.0,216.8571428571429,46.285714285714285,15.350003197917331,0.1166666909722272,19.999979833333327,15.078651,339.77737809728694,dos
0.030674,4.0,5.0,10.0,44.2,8508.83484384169,293.40809806350654,0.005005,0.007635749999999999,69.50371692698647,dos
0.030945,4.0,5.0,10.0,54.4,10082.404265632576,290.838584585555,0.005055666666666667,0.007665500000000001,85.43847689029418,dos
118.993301,25.0,1.0,0.0,0.0,0.0,0.2184996952055309,4.710583125,0.0,0.0,dos
119.984965,3.0,5.0,22.666666666666664,12.0,1.0668003278577445,0.066675020491109,45.1333145,18.7445985,27.367864366808018,dos
94.020369,23.0,1.0,0.0,0.0,0.0,0.2552638354354895,4.273651681818182,0.0,0.0,dos
110.245386,1063.0,800.0,63.13358419567259,13.751249999999995,708.528518372642,16.898666398610096,0.10378217984934084,0.13797920650813544,62.59053177026114,dos
119.854979,1045.0,791.0,60.68325358851669,13.758533501896334,619.8908098761588,15.318512550071032,0.1144660699233716,0.15171516329113904,60.27662713755624,dos
93.071409,10.0,16.0,96.1,863.7500000000001,158.81354068680747,0.2793553925889314,10.327511444444443,0.046006000000000005,641.5206893559979,dos
110.014398,10.0,10.0,62.70000000000002,642.3,64.08252127144303,0.181794386585654,12.220986555555555,0.01589211111111111,535.4939908959897,dos
0.000117,1.0,2.0,0.0,15.5,264957.26495726494,25641.02564102564,0.0,4.4e-05,17.897858344878397,dos
